"ID_REF","non_pulsed_196","non_pulsed_198","non_pulsed_201","pulsed_200","pulsed_203","pulsed_205"
"1391332_at",5.49027729,5.037224293,5.045938492,4.652824402,5.085672855,5.220825672
"1391333_at",7.056556702,7.566310406,7.734963417,8.060858727,8.14366436,8.206809044
"1391334_at",5.497148991,5.016778946,5.285084724,5.777909279,5.557124615,5.36247921
"1391335_at",3.37836647,3.37754631,4.328630447,3.378549576,3.360920906,3.446621895
"1391336_at",4.840928078,5.36570406,4.859987736,5.274172783,5.160115719,5.026412964
"1391337_at",4.707425117,4.68103981,4.986996651,5.103831291,5.118328571,5.444590092
"1391338_at",6.752439022,6.629375458,6.70556879,7.383981228,7.103874683,7.650177002
"1391339_at",6.237114906,6.627806187,6.318896294,6.458173752,6.168589592,6.309065819
"1391340_at",3.543627739,3.37754631,3.321928024,3.378549576,3.688081741,3.446621895
"1391341_at",5.625163078,5.781631947,5.474602222,5.532567501,5.118088245,5.119773388
"1391342_at",6.112902641,6.024895668,5.877289295,5.854570389,5.916627884,6.364317417
"1391343_at",5.813791752,6.102471352,5.913941383,5.820919514,5.56247282,5.560119629
"1391344_at",4.891112328,5.005558968,4.714948654,5.10790205,5.195891857,4.865762234
"1391345_at",6.881992817,5.531933784,5.80470562,6.459055424,4.722621918,4.417770863
"1391346_at",9.027861595,9.32284832,9.193275452,9.274261475,9.066373825,9.89839077
"1391347_at",8.667172432,8.270174026,8.38481617,8.419473648,8.211431503,8.373096466
"1391348_at",7.188193798,6.746200085,7.228172302,6.81919384,7.218384266,6.814231873
"1391349_at",6.099255562,6.508085251,6.297224998,6.775210381,6.542446613,7.162709713
"1391350_at",3.881892443,3.37754631,3.648795605,3.378549576,3.360920906,3.446621895
"1391351_at",5.296167374,5.736638546,5.143400669,5.196971416,5.320715427,5.34198904
"1391352_at",3.531324863,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391353_at",7.905992031,8.062700272,7.749812603,8.026314735,7.749153137,7.885340691
"1391354_at",6.248068333,6.492335796,6.604636669,6.406034946,6.300765514,6.45783186
"1391355_at",5.851846218,6.061724186,5.818089962,6.34018755,5.985770702,6.131472111
"1391356_at",9.166111946,9.522336006,9.842348099,9.966064453,9.76456356,9.427686691
"1391357_at",5.271529675,5.296334267,5.458006382,5.284317017,5.139639378,5.522246361
"1391358_at",5.40448904,5.659402847,5.483324528,5.775549412,5.681947708,5.659434795
"1391359_at",5.516703606,5.366752148,5.105992317,5.363296986,5.065881252,5.2854743
"1391360_x_at",3.86627984,3.37754631,3.321928024,3.578112125,3.360920906,3.446621895
"1391361_at",5.572127819,5.794720173,5.863728523,6.113648891,6.00693512,5.912649632
"1391362_at",6.395104408,6.48097086,5.985001564,6.220920086,6.301774502,6.121322155
"1391363_at",4.901731491,4.818443775,5.008584976,4.839609146,4.855817795,4.638458252
"1391364_at",6.161735535,6.393344879,5.865057468,6.360302448,6.060588837,5.981734276
"1391365_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391366_at",3.37836647,3.37754631,3.321928024,3.878772497,3.360920906,3.446621895
"1391367_at",6.708676815,6.626005173,6.514936447,6.515355587,6.385939121,6.508665085
"1391368_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391369_at",4.589351177,4.917794704,4.303294182,4.897887707,5.028789043,5.042341709
"1391370_at",7.49496603,6.900576115,7.253119469,7.300591469,7.393599987,7.75881958
"1391371_at",3.37836647,3.37754631,3.553032398,3.670424223,3.48894906,3.662754059
"1391372_at",7.077484131,6.909361839,7.173186302,7.345385075,7.373003483,7.785083294
"1391373_at",7.904408455,7.871590137,8.09954834,7.605041981,7.55214262,7.833056927
"1391374_at",4.904122353,5.070771694,4.614387512,5.040932655,4.889282227,4.991141796
"1391375_at",3.911173105,3.760020018,4.089594841,3.378549576,4.314295769,4.36122036
"1391376_at",7.173635006,6.901108265,6.522297382,7.098557949,6.943243504,6.787910461
"1391377_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391378_at",4.319402218,3.487417698,3.760753155,4.235619545,4.39864397,4.380592823
"1391379_at",4.258630276,5.01728487,4.613974571,5.085904598,5.155584335,4.359270096
"1391380_at",5.9526124,6.17001009,6.350679874,6.266341686,6.414270401,6.535537243
"1391381_at",4.212199688,4.729926586,3.856762648,4.26612711,3.993174314,4.103498459
"1391382_at",5.660158157,4.758523941,4.836857796,5.026258945,5.085216522,5.300219059
"1391383_at",4.704801083,4.344013214,4.242839336,4.596940994,3.399400711,4.15505743
"1391384_at",3.37836647,3.37754631,3.321928024,3.378549576,3.858690739,3.547837734
"1391385_at",3.872789383,3.868193626,3.514984369,4.145367622,3.360920906,3.789979696
"1391386_at",6.436092377,6.677360535,5.970465183,6.301114082,6.479010582,6.484773159
"1391387_s_at",9.153640747,8.494621277,8.865082741,8.799988747,8.83987999,8.173946381
"1391388_at",5.827289104,6.097467899,6.137834072,5.971652031,5.858109474,6.164750099
"1391389_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391390_at",8.739274025,8.986510277,8.91317749,9.229865074,9.180871964,8.935389519
"1391391_at",3.761502981,3.782086611,3.713348389,3.925941229,3.987400293,3.810940027
