ID_REF,non_pulsed_196,non_pulsed_198,non_pulsed_201,non_pulsed_197,non_pulsed_199,non_pulsed_202
1379311_at,6.818056107,6.808087349,6.611338139,6.225974083,7.134887218,6.283556938
1379312_at,8.31982708,8.960728645,8.732118607,8.255144119,9.000339508,8.780902863
1379313_at,4.835448742,4.627117157,4.444045544,4.783297539,4.603232861,4.769278049
1379314_at,8.610170364,8.509625435,8.863160133,8.445407867,8.880439758,8.898636818
1379315_at,7.176621437,7.43631649,7.256253242,7.597957134,7.338724613,7.15933609
1379316_at,7.006426334,6.672571659,6.975468636,7.048754692,6.610298634,7.092137337
1379317_a_at,8.524168015,8.292850494,8.413936615,8.26028347,8.17742157,8.371837616
1379318_at,5.298213482,5.050227642,5.170174599,5.187790394,4.892557144,5.139519215
1379319_at,4.822817326,4.25108099,4.394831181,5.057102203,4.789318085,4.855741978
1379320_at,6.031563759,6.986250401,6.552463531,5.58242178,6.612090111,6.680393219
1379321_at,6.293741703,5.974673748,6.079185963,6.284050465,6.074618816,6.307796955
1379322_at,10.03173447,10.18734264,10.25261688,9.86091423,10.2506876,10.10938454
1379323_at,8.758613586,8.8472929,8.983888626,8.981375694,8.926606178,8.993538857
1379324_at,4.850251675,5.350440025,5.613128662,5.045221806,5.353487492,5.960408688
1379325_at,7.515357494,7.280328274,7.518570423,7.469890118,7.292309761,7.480313778
1379326_at,5.169165611,5.690000057,5.080864906,5.597200394,5.492791653,5.164783955
1379327_at,9.846570969,9.837173462,10.06922913,9.681357384,9.913674355,9.906541824
1379328_at,8.085526466,8.154187202,7.605187416,8.065818787,7.879365921,7.851664066
1379329_at,8.564257622,8.396590233,8.497730255,8.7335186,8.509007454,8.381085396
1379330_s_at,10.18665791,10.2058773,10.28070927,10.48738194,10.33116341,10.20705795
1379331_at,3.37836647,3.37754631,3.321928024,3.455305099,3.386288643,3.323191643
1379332_at,6.683735371,6.776936054,7.441788197,7.311087608,7.480482578,7.466470242
1379333_at,7.128157139,7.186404228,7.011362553,6.920122623,7.092489719,6.927193165
1379334_at,3.6036551,3.639534473,3.383528709,3.758861542,3.460644722,3.838365316
1379335_at,8.650606155,7.811869144,7.921122074,8.229816437,7.734833241,8.247159004
1379336_at,5.486816406,4.92618084,5.252411366,5.541553497,4.612941742,4.975285053
1379337_at,7.640640259,7.824579239,8.194721222,7.58180666,7.968093872,8.202614784
1379338_at,6.682180405,6.561730862,6.753218174,6.493494511,6.720395088,6.865593433
1379339_at,7.993765831,8.213931084,8.326942444,8.161672592,8.336164474,8.268488884
1379340_at,8.979468346,10.11881638,9.691461563,9.949337959,10.00899601,9.644102097
1379341_at,8.262238503,7.568084717,7.839871883,8.25579834,7.777428627,8.049862862
1379342_at,6.642953873,6.469228745,6.71594429,6.705852032,6.721763611,6.908995628
1379343_at,8.45582962,8.288948059,8.621637344,8.759155273,8.422580719,8.577408791
1379344_at,8.485506058,7.162233353,6.497082233,7.588423729,7.231491566,6.397179604
1379345_at,10.88666821,9.503040314,9.28077507,9.688720703,8.801749229,8.850055695
1379346_at,10.04378891,10.17556858,10.20782566,10.2039299,10.36453247,10.27609825
1379347_at,10.23472118,9.767778397,9.88522625,9.995811462,9.793030739,10.07370853
1379348_at,7.023078918,6.523743153,6.850539207,7.008036137,6.757928371,6.896168709
1379349_a_at,6.676839352,6.670343876,6.766971588,6.788454056,6.471035004,6.69101572
1379350_at,5.966916084,5.674857616,6.310193539,6.471385002,5.862497807,6.315241337
1379351_at,6.651854038,6.675482273,7.114674091,6.732706547,6.971462727,7.015002728
1379352_at,5.907260895,6.490428448,6.616511345,6.067668438,6.415517807,6.492370605
1379353_at,10.08678246,10.32417011,10.40300369,10.2656765,10.3304739,10.29334641
1379354_at,7.50947094,6.884366512,6.930374146,7.196052551,6.74083662,7.016721249
1379355_at,5.555566311,5.867491245,5.602374077,6.155759335,6.275285721,5.877379417
1379356_at,8.421212196,7.600147724,8.020986557,8.301103592,7.409435749,7.933765888
1379357_at,6.490341663,6.180987358,6.074828625,6.410768509,5.713338852,6.144284248
1379358_at,6.435253143,6.947946072,7.228918552,7.671153069,7.204361916,7.628757954
1379359_at,4.355179787,4.910214901,4.952248573,4.66631031,4.271556854,4.453652382
1379360_at,8.533128738,8.783006668,8.860959053,8.466490746,8.70923996,8.841305733
1379361_at,6.381696701,6.616961956,6.903845787,7.231045723,7.45705843,7.220895767
1379362_at,6.874687195,6.453197002,6.400746822,6.961893082,6.625346661,6.603917122
1379363_at,3.630687714,4.027041435,3.435381889,4.092297554,4.152793884,4.056315422
1379364_at,7.327970505,7.578547478,7.403736591,7.561448097,7.528121948,7.588005066
1379365_at,5.950460911,6.412590027,6.668478012,6.459901333,6.667636395,7.013104916
1379366_a_at,5.981706619,5.353187084,5.153582096,6.043471336,5.865512371,5.65965271
1379367_at,6.960921288,7.511163235,7.745662689,7.246075153,7.176903248,7.511481285
1379368_at,9.282948494,9.594204903,9.406270027,9.280215263,9.765275955,9.539675713
1379369_at,10.17955875,10.39481449,10.37574959,10.17581177,10.5093565,10.45479488
1379370_at,10.07158279,10.68666744,10.53530884,11.17124653,11.1410141,10.82850838
1379371_at,9.316823959,10.04269886,10.08086777,10.01093102,10.28004551,10.3423214
1379372_at,6.675675392,6.416231632,6.621631145,7.180593491,6.645389557,6.976222992
1379373_at,4.943577766,5.055995464,4.781654358,4.775920868,4.627570629,4.575571537
1379374_at,6.123414516,6.493967533,6.139532089,6.425880909,6.105316162,6.613662243
1379375_at,9.579526901,9.388503075,9.555383682,9.175144196,9.333893776,9.558306694
1379376_at,5.963545799,5.237654209,5.606151581,5.485448837,5.458222389,5.685276031
1379377_at,8.200774193,8.267289162,8.565439224,7.95243597,8.317480087,8.442357063
1379378_at,8.134262085,8.682175636,8.691349983,8.301631927,8.632713318,8.618127823
1379379_at,4.004424095,4.296535492,4.286229134,4.640669823,4.936540127,4.178727627
1379380_at,9.699840546,8.468848228,8.793380737,9.507740021,9.220943451,8.695734978
1379381_at,4.524240017,4.322581768,3.962538958,4.606181145,4.304985046,4.657303333
1379382_at,6.425550938,5.861118317,5.7821064,5.976955414,5.736116886,6.045183659
1379383_at,4.159293175,4.386892319,4.170641422,3.935924053,4.269156456,4.145111084
1379384_at,7.502519131,7.106323719,7.32698679,7.465439796,7.302233219,7.450570107
1379385_at,7.320669174,7.054331779,7.149477959,6.665958405,7.000759602,7.135751724
1379386_at,7.824878216,7.802559853,7.40069437,7.351059437,7.810655117,7.833464622
1379387_at,5.868064404,4.49271822,4.044904709,5.989099979,4.93385601,3.840615511
1379388_at,9.215291977,9.238490105,9.534291267,9.424407005,9.576019287,9.454321861
1379389_at,8.384034157,8.920898438,9.116714478,9.605927467,9.266841888,9.51625061
1379390_at,6.851775646,7.538198948,7.659234524,8.359554291,7.909524918,7.749067307
1379391_at,4.38504076,4.812589169,5.195158005,5.097867489,5.176304817,4.654539585
1379392_at,8.544060707,9.776633263,9.618656158,9.031737328,10.05042458,9.311306953
1379393_at,5.36303091,6.078618526,6.551456928,5.904416561,5.742860317,6.642781258
1379394_at,3.37836647,3.37754631,3.321928024,3.455305099,3.386288643,3.886899471
1379395_a_at,10.06653595,10.49153423,10.53912067,10.62790108,10.54045868,10.53276634
1379396_at,7.225327969,7.617841721,7.583990574,7.748231411,7.704415321,7.184179306
1379397_at,6.785859108,7.019857407,7.33523035,7.07768631,6.971494198,7.161499023
1379398_at,8.150478363,8.5859375,9.019377708,8.908840179,9.149204254,8.979715347
1379399_at,6.712640285,5.562654972,6.280849934,6.566085815,6.280093193,6.092048168
1379400_at,10.01877785,9.415957451,9.481458664,9.418040276,9.090717316,9.551136017
1379401_a_at,8.657730103,8.564126968,8.957320213,8.617167473,8.663718224,8.546622276
1379402_at,7.50121069,8.008807182,8.032707214,8.127686501,8.305569649,8.216714859
1379403_at,6.406980991,5.778223991,6.155530453,5.955198288,5.930410385,6.19965601
1379404_at,8.726884842,7.768567562,8.395702362,8.77145195,8.067063332,8.290884972
1379405_at,7.751905441,7.947083473,8.010816574,8.311721802,8.393186569,8.456612587
1379406_at,7.533382416,7.270439625,7.755192757,7.184866428,7.461556911,7.602377892
1379407_at,6.808826923,7.422192097,7.599063396,7.251481533,7.57607317,7.761257172
1379408_at,7.092135906,7.005922318,7.004209042,7.397470474,6.966364384,7.298047543
1379409_at,4.773732185,4.920326233,4.895857334,4.988957882,4.904625416,5.025830269
1379410_at,7.763561249,8.322220802,8.226875305,8.08339119,8.416021347,8.192059517
1379411_at,3.910923004,3.492174625,3.321928024,3.455305099,3.386288643,3.323191643
1379412_at,7.220475674,7.783210754,7.537772655,7.612833977,7.945734501,7.507928848
1379413_at,6.752824783,6.977937698,7.330405235,7.131969929,7.254024029,7.460270405
1379414_at,5.295887947,6.178817749,6.045603275,5.812460423,6.263034344,5.861721516
1379415_at,5.689968586,5.844182014,5.66267252,6.146533489,5.558317184,6.012466908
1379416_at,7.447108746,7.450582504,8.084667206,8.460150719,7.822359085,8.172763824
1379417_at,7.506951809,7.545543194,7.741065025,7.511564255,7.579800129,7.991891384
1379418_at,4.430176258,5.028036118,3.682041645,4.263287544,4.538190365,4.227448463
1379419_at,9.374468803,9.429001808,9.503980637,9.529360771,9.327752113,9.498642921
1379420_at,9.441469193,9.810240746,9.950422287,9.712450027,9.940968513,10.1058445
1379421_at,5.454924583,5.418940067,5.66920948,5.585975647,5.288666248,5.430873394
1379422_at,7.962924004,8.030754089,8.031639099,7.864882946,8.06507206,7.991100788
1379423_at,9.253809929,9.718641281,9.124100685,9.118003845,9.317643166,9.056555748
1379424_at,7.307864189,7.311560631,7.334021091,7.523403168,7.10563755,7.47779417
1379425_at,6.303213596,6.091087341,6.231383801,6.466439247,5.998692036,6.431046963
1379426_at,3.580706596,4.372065067,3.798032999,3.976192951,4.040477753,3.663270712
1379427_at,9.349776268,9.541248322,9.594812393,9.647899628,9.737981796,9.516881943
1379428_x_at,3.37836647,3.37754631,3.321928024,3.455305099,3.386288643,3.323191643
1379429_at,9.363944054,9.530708313,9.880230904,9.385615349,9.593320847,9.670667648
1379430_at,4.36447525,4.485702991,4.44931221,4.49636507,4.58810997,3.835785627
1379431_at,8.509115219,8.423124313,8.134227753,8.632226944,8.343663216,8.199291229
1379432_at,6.020673752,5.31682682,6.031835556,6.306619644,5.702126503,5.658797741
1379433_at,9.517128944,9.124945641,9.270778656,9.313999176,9.197960854,9.449524879
1379434_at,6.973563671,7.423841,7.061548233,7.132009029,7.297571659,7.189690113
1379435_at,5.542944908,6.030361176,6.48251152,6.408510208,6.297904968,6.61381197
1379436_a_at,7.642824173,7.617679596,7.179637432,7.75558567,7.366856098,7.503060818
1379437_at,3.828651428,4.658286572,3.590884686,3.950487614,3.999118567,3.817532539
1379438_at,7.035995007,6.763881207,6.988996029,7.093684673,6.802224636,7.079654694
